data_set,team,player
2018-2019 Regular Season,All,
2017-2018 Regular Season,All,
2016-2017 Regular Season,All,
2015-2016 Regular Season,All,
2014-2015 Regular Season,All,
2013-2014 Regular Season,All,
2012-2013 Regular Season,All,
2011-2012 Regular Season,All,
2010-2011 Regular Season,All,
2009-2010 Regular Season,All,
2018-2019 Regular Season,MIL,All
2018-2019 Regular Season,LAL,All
2018-2019 Regular Season,TOR,All
2018-2019 Regular Season,BOS,All
2018-2019 Regular Season,DEN,All
2018-2019 Regular Season,LAC,All
2018-2019 Regular Season,HOU,All
2018-2019 Regular Season,MIA,All
2018-2019 Regular Season,UTA,All
2018-2019 Regular Season,DAL,All
2018-2019 Regular Season,IND,All
2018-2019 Regular Season,OKC,All
2018-2019 Regular Season,PHI,All
2018-2019 Regular Season,MEM,All
2018-2019 Regular Season,ORL,All
2018-2019 Regular Season,POR,All
2018-2019 Regular Season,BKN,All
2018-2019 Regular Season,NOP,All
2018-2019 Regular Season,SAC,All
2018-2019 Regular Season,SAS,All
2018-2019 Regular Season,PHX,All
2018-2019 Regular Season,WAS,All
2018-2019 Regular Season,CHA,All
2018-2019 Regular Season,CHI,All
2018-2019 Regular Season,DET,All
2018-2019 Regular Season,ATL,All
2018-2019 Regular Season,NYK,All
2018-2019 Regular Season,CLE,All
2018-2019 Regular Season,MIN,All
2018-2019 Regular Season,GSW,All
2017-2018 Regular Season,MIL,All
2017-2018 Regular Season,LAL,All
2017-2018 Regular Season,TOR,All
2017-2018 Regular Season,BOS,All
2017-2018 Regular Season,DEN,All
2017-2018 Regular Season,LAC,All
2017-2018 Regular Season,HOU,All
2017-2018 Regular Season,MIA,All
2017-2018 Regular Season,UTA,All
2017-2018 Regular Season,DAL,All
2017-2018 Regular Season,IND,All
2017-2018 Regular Season,OKC,All
2017-2018 Regular Season,PHI,All
2017-2018 Regular Season,MEM,All
2017-2018 Regular Season,ORL,All
2017-2018 Regular Season,POR,All
2017-2018 Regular Season,BKN,All
2017-2018 Regular Season,NOP,All
2017-2018 Regular Season,SAC,All
2017-2018 Regular Season,SAS,All
2017-2018 Regular Season,PHX,All
2017-2018 Regular Season,WAS,All
2017-2018 Regular Season,CHA,All
2017-2018 Regular Season,CHI,All
2017-2018 Regular Season,DET,All
2017-2018 Regular Season,ATL,All
2017-2018 Regular Season,NYK,All
2017-2018 Regular Season,CLE,All
2017-2018 Regular Season,MIN,All
2017-2018 Regular Season,GSW,All
2016-2017 Regular Season,MIL,All
2016-2017 Regular Season,LAL,All
2016-2017 Regular Season,TOR,All
2016-2017 Regular Season,BOS,All
2016-2017 Regular Season,DEN,All
2016-2017 Regular Season,LAC,All
2016-2017 Regular Season,HOU,All
2016-2017 Regular Season,MIA,All
2016-2017 Regular Season,UTA,All
2016-2017 Regular Season,DAL,All
2016-2017 Regular Season,IND,All
2016-2017 Regular Season,OKC,All
2016-2017 Regular Season,PHI,All
2016-2017 Regular Season,MEM,All
2016-2017 Regular Season,ORL,All
2016-2017 Regular Season,POR,All
2016-2017 Regular Season,BKN,All
2016-2017 Regular Season,NOP,All
2016-2017 Regular Season,SAC,All
2016-2017 Regular Season,SAS,All
2016-2017 Regular Season,PHX,All
2016-2017 Regular Season,WAS,All
2016-2017 Regular Season,CHA,All
2016-2017 Regular Season,CHI,All
2016-2017 Regular Season,DET,All
2016-2017 Regular Season,ATL,All
2016-2017 Regular Season,NYK,All
2016-2017 Regular Season,CLE,All
2016-2017 Regular Season,MIN,All
2016-2017 Regular Season,GSW,All
2015-2016 Regular Season,MIL,All
2015-2016 Regular Season,LAL,All
2015-2016 Regular Season,TOR,All
2015-2016 Regular Season,BOS,All
2015-2016 Regular Season,DEN,All
2015-2016 Regular Season,LAC,All
2015-2016 Regular Season,HOU,All
2015-2016 Regular Season,MIA,All
2015-2016 Regular Season,UTA,All
2015-2016 Regular Season,DAL,All
2015-2016 Regular Season,IND,All
2015-2016 Regular Season,OKC,All
2015-2016 Regular Season,PHI,All
2015-2016 Regular Season,MEM,All
2015-2016 Regular Season,ORL,All
2015-2016 Regular Season,POR,All
2015-2016 Regular Season,BKN,All
2015-2016 Regular Season,NOP,All
2015-2016 Regular Season,SAC,All
2015-2016 Regular Season,SAS,All
2015-2016 Regular Season,PHX,All
2015-2016 Regular Season,WAS,All
2015-2016 Regular Season,CHA,All
2015-2016 Regular Season,CHI,All
2015-2016 Regular Season,DET,All
2015-2016 Regular Season,ATL,All
2015-2016 Regular Season,NYK,All
2015-2016 Regular Season,CLE,All
2015-2016 Regular Season,MIN,All
2015-2016 Regular Season,GSW,All
2014-2015 Regular Season,MIL,All
2014-2015 Regular Season,LAL,All
2014-2015 Regular Season,TOR,All
2014-2015 Regular Season,BOS,All
2014-2015 Regular Season,DEN,All
2014-2015 Regular Season,LAC,All
2014-2015 Regular Season,HOU,All
2014-2015 Regular Season,MIA,All
2014-2015 Regular Season,UTA,All
2014-2015 Regular Season,DAL,All
2014-2015 Regular Season,IND,All
2014-2015 Regular Season,OKC,All
2014-2015 Regular Season,PHI,All
2014-2015 Regular Season,MEM,All
2014-2015 Regular Season,ORL,All
2014-2015 Regular Season,POR,All
2014-2015 Regular Season,BKN,All
2014-2015 Regular Season,NOP,All
2014-2015 Regular Season,SAC,All
2014-2015 Regular Season,SAS,All
2014-2015 Regular Season,PHX,All
2014-2015 Regular Season,WAS,All
2014-2015 Regular Season,CHA,All
2014-2015 Regular Season,CHI,All
2014-2015 Regular Season,DET,All
2014-2015 Regular Season,ATL,All
2014-2015 Regular Season,NYK,All
2014-2015 Regular Season,CLE,All
2014-2015 Regular Season,MIN,All
2014-2015 Regular Season,GSW,All
2013-2014 Regular Season,MIL,All
2013-2014 Regular Season,LAL,All
2013-2014 Regular Season,TOR,All
2013-2014 Regular Season,BOS,All
2013-2014 Regular Season,DEN,All
2013-2014 Regular Season,LAC,All
2013-2014 Regular Season,HOU,All
2013-2014 Regular Season,MIA,All
2013-2014 Regular Season,UTA,All
2013-2014 Regular Season,DAL,All
2013-2014 Regular Season,IND,All
2013-2014 Regular Season,OKC,All
2013-2014 Regular Season,PHI,All
2013-2014 Regular Season,MEM,All
2013-2014 Regular Season,ORL,All
2013-2014 Regular Season,POR,All
2013-2014 Regular Season,BKN,All
2013-2014 Regular Season,NOP,All
2013-2014 Regular Season,SAC,All
2013-2014 Regular Season,SAS,All
2013-2014 Regular Season,PHX,All
2013-2014 Regular Season,WAS,All
2013-2014 Regular Season,CHA,All
2013-2014 Regular Season,CHI,All
2013-2014 Regular Season,DET,All
2013-2014 Regular Season,ATL,All
2013-2014 Regular Season,NYK,All
2013-2014 Regular Season,CLE,All
2013-2014 Regular Season,MIN,All
2013-2014 Regular Season,GSW,All
2012-2013 Regular Season,MIL,All
2012-2013 Regular Season,LAL,All
2012-2013 Regular Season,TOR,All
2012-2013 Regular Season,BOS,All
2012-2013 Regular Season,DEN,All
2012-2013 Regular Season,LAC,All
