"person_id","display_last_comma_first","display_first_last","rosterstatus","from_year","to_year","playercode","team_id","team_city","team_name","team_abbreviation","team_code","games_played_flag","otherleague_experience_ch","name","lower_name"
920,"Green, A.C.","A.C. Green",FALSE,1985,2000,"a.c._green",0,"","","","","Y","00","A.C. Green","a.c. green"
1920,"Bramlett, A.J.","A.J. Bramlett",FALSE,1999,1999,"a.j._bramlett",0,"","","","","Y","00","A.J. Bramlett","a.j. bramlett"
2062,"Guyton, A.J.","A.J. Guyton",FALSE,2000,2002,"a.j._guyton",0,"","","","","Y","00","A.J. Guyton","a.j. guyton"
201166,"Brooks, Aaron","Aaron Brooks",TRUE,2007,2017,"aaron_brooks",1610612741,"Chicago","Bulls","CHI","bulls","Y","01","Aaron Brooks","aaron brooks"
203932,"Gordon, Aaron","Aaron Gordon",TRUE,2014,2019,"aaron_gordon",1610612753,"Orlando","Magic","ORL","magic","Y","00","Aaron Gordon","aaron gordon"
201189,"Gray, Aaron","Aaron Gray",FALSE,2007,2013,"aaron_gray",0,"","","","","Y","00","Aaron Gray","aaron gray"
1626151,"Harrison, Aaron","Aaron Harrison",TRUE,2015,2017,"aaron_harrison",1610612766,"Charlotte","Hornets","CHA","hornets","Y","11","Aaron Harrison","aaron harrison"
1628988,"Holiday, Aaron","Aaron Holiday",FALSE,2018,2019,"aaron_holiday",0,"","","","","Y","00","Aaron Holiday","aaron holiday"
1628935,"Jackson, Aaron","Aaron Jackson",FALSE,2017,2017,"aaron_jackson",0,"","","","","Y","00","Aaron Jackson","aaron jackson"
243,"McKie, Aaron","Aaron McKie",FALSE,1994,2006,"aaron_mckie",0,"","","","","Y","00","Aaron McKie","aaron mckie"
101223,"Miles, Aaron","Aaron Miles",FALSE,2005,2005,"aaron_miles",0,"","","","","Y","01","Aaron Miles","aaron miles"
1425,"Williams, Aaron","Aaron Williams",FALSE,1993,2007,"aaron_williams",0,"","","","","Y","00","Aaron Williams","aaron williams"
1627846,"Nader, Abdel","Abdel Nader",FALSE,2017,2019,"abdel_nader",0,"","","","","Y","01","Abdel Nader","abdel nader"
768,"Earl, Acie","Acie Earl",FALSE,1993,1996,"acie_earl",0,"","","","","Y","00","Acie Earl","acie earl"
201151,"Law, Acie","Acie Law",FALSE,2007,2010,"acie_law",0,"","","","","Y","00","Acie Law","acie law"
2492,"Harrington, Adam","Adam Harrington",FALSE,2002,2002,"adam_harrington",0,"","","","","Y","01","Adam Harrington","adam harrington"
228,"Keefe, Adam","Adam Keefe",FALSE,1992,2000,"adam_keefe",0,"","","","","Y","00","Adam Keefe","adam keefe"
1629690,"Mokoka, Adam","Adam Mokoka",FALSE,2019,2019,"adam_mokoka",0,"","","","","Y","01","Adam Mokoka","adam mokoka"
200747,"Morrison, Adam","Adam Morrison",FALSE,2006,2009,"adam_morrison",0,"","","","","Y","00","Adam Morrison","adam morrison"
