"result","player","converted_x","converted_y","shot_distance","shot_x","shot_y"
"made","Toney Douglas",45,74.1,25,5,19.9
"made","Toney Douglas",33.8,90.1,9,16.2,3.90000000000001
"made","Kevin Garnett",23.7,6.2,2,23.7,6.2
"made","Landry Fields",48.3,91.4,23,1.7,2.59999999999999
"made","Rajon Rondo",26.6,5.9,2,26.6,5.9
"made","Amar'e Stoudemire",11.1,73.6,21,38.9,20.4
"made","Rajon Rondo",14.4,18.8,17,14.4,18.8
"made","Amar'e Stoudemire",7.1,72,25,42.9,22
"made","Carmelo Anthony",30,85.6,6,20,8.40000000000001
"made","Landry Fields",22.7,88.7,2,27.3,5.3
"made","Brandon Bass",16.7,21.7,19,16.7,21.7
"made","Chris Wilcox",27.9,9.7,6,27.9,9.7
"made","Iman Shumpert",27.3,88.4,2,22.7,5.59999999999999
"made","Carmelo Anthony",22.7,87.6,3,27.3,6.40000000000001
"made","Jared Jeffries",43.5,78.3,21,6.5,15.7
"made","Iman Shumpert",27.3,85.9,4,22.7,8.09999999999999
"made","Rajon Rondo",23.8,7,2,23.8,7
"made","Chris Wilcox",24.6,6.1,1,24.6,6.1
"made","Renaldo Balkman",22.3,87.8,3,27.7,6.2
"made","Kevin Garnett",12.1,17.4,18,12.1,17.4
"made","Amar'e Stoudemire",24,87.5,2,26,6.5
"made","Amar'e Stoudemire",10.8,69.3,24,39.2,24.7
"made","Toney Douglas",17.1,82.6,10,32.9,11.4
"made","Toney Douglas",27.1,88.4,2,22.9,5.59999999999999
"made","Jermaine O'Neal",23.2,5.7,2,23.2,5.7
"made","Brandon Bass",29.1,10.3,7,29.1,10.3
"made","Ray Allen",23.7,5.9,2,23.7,5.9
"made","Brandon Bass",26,6.2,2,26,6.2
"made","Amar'e Stoudemire",24.8,87.9,1,25.2,6.09999999999999
"made","Brandon Bass",10.9,7.3,14,10.9,7.3
"made","Rajon Rondo",23.2,6.4,2,23.2,6.4
"made","Toney Douglas",24.2,88.1,1,25.8,5.90000000000001
"made","Brandon Bass",24.9,5.7,1,24.9,5.7
"made","Carmelo Anthony",35.2,65.9,25,14.8,28.1
"made","Rajon Rondo",26,5.4,1,26,5.4
"made","Rajon Rondo",6.3,14.7,21,6.3,14.7
"made","Carmelo Anthony",42.4,85.1,18,7.6,8.90000000000001
"made","Carmelo Anthony",43.2,89.8,18,6.8,4.2
"made","Ray Allen",22.9,6.2,2,22.9,6.2
"made","Ray Allen",23.7,5.9,2,23.7,5.9
"made","Carmelo Anthony",35.2,66.8,24,14.8,27.2
"made","Kevin Garnett",10.4,18.8,20,10.4,18.8
"made","Rajon Rondo",23.7,5.3,1,23.7,5.3
"made","Rajon Rondo",23.9,5.3,1,23.9,5.3
"made","Ray Allen",4.4,3.6,21,4.4,3.6
"made","Landry Fields",33.1,88.7,8,16.9,5.3
"made","Ray Allen",48.1,3.9,23,48.1,3.9
"made","Rajon Rondo",25.6,5.8,1,25.6,5.8
"made","Jermaine O'Neal",23.3,5.3,2,23.3,5.3
"made","Marquis Daniels",24,6.1,1,24,6.1
"made","Toney Douglas",43.2,87.5,18,6.8,6.5
"made","Amar'e Stoudemire",26.5,88.7,2,23.5,5.3
"made","Rajon Rondo",26.8,4.8,2,26.8,4.8
"made","Amar'e Stoudemire",27.4,89,2,22.6,5
"made","Ray Allen",20.5,8.1,5,20.5,8.1
"made","Brandon Bass",26,5.9,1,26,5.9
"made","Iman Shumpert",30.1,74.7,15,19.9,19.3
"made","Brandon Bass",12.8,15.4,16,12.8,15.4
"made","Toney Douglas",26.8,88.6,2,23.2,5.40000000000001
"made","Brandon Bass",22.9,5.3,2,22.9,5.3
"made","Brandon Bass",9,7.6,16,9,7.6
"made","Carmelo Anthony",41.8,71.8,24,8.2,22.2
"made","Carmelo Anthony",42.3,83,18,7.7,11
"made","Ray Allen",4.3,19.3,25,4.3,19.3
"made","Kevin Garnett",29.8,23.4,19,29.8,23.4
"made","Tyson Chandler",23.7,88.4,1,26.3,5.59999999999999
"made","Rajon Rondo",37.3,19.8,19,37.3,19.8
"made","Amar'e Stoudemire",9.8,84.5,16,40.2,9.5
"made","Toney Douglas",41,70.4,25,9,23.6
"made","Kevin Garnett",38.1,19.2,19,38.1,19.2
"made","Carmelo Anthony",40.4,69.3,25,9.6,24.7
"made","Kevin Garnett",34.2,23.3,20,34.2,23.3
"made","Carmelo Anthony",38,75.6,19,12,18.4
"made","Marquis Daniels",26.3,5,1,26.3,5
"made","LeBron James",24.9,4.4,1,24.9,4.4
"made","Dwyane Wade",25,4.5,0,25,4.5
"made","Dwyane Wade",22.9,5,2,22.9,5
"made","LeBron James",25,4.4,1,25,4.4
"made","Vince Carter",9.3,69.6,25,40.7,24.4
"made","Dirk Nowitzki",9.2,89,16,40.8,5
"made","Lamar Odom",41.5,70.3,25,8.5,23.7
"made","Dwyane Wade",21.9,5,3,21.9,5
"made","LeBron James",34.3,8.3,10,34.3,8.3
"made","Norris Cole",48.5,4.5,24,48.5,4.5
"made","Juwan Howard",23.3,5,2,23.3,5
"made","Norris Cole",21.9,5,3,21.9,5
"made","Udonis Haslem",41,5.9,16,41,5.9
"made","Juwan Howard",25,4.7,0,25,4.7
"made","Udonis Haslem",24.6,5,0,24.6,5
"made","Jason Terry",42.1,87,17,7.9,7
"made","Jason Terry",23.5,86.5,3,26.5,7.5
"made","Dwyane Wade",25,5.7,1,25,5.7
"made","Delonte West",20.4,88.7,5,29.6,5.3
"made","Dwyane Wade",12.3,18.1,18,12.3,18.1
"made","Jason Terry",42.7,72.5,24,7.3,21.5
"made","James Jones",6.3,20.9,25,6.3,20.9
"made","James Jones",4.6,18.1,24,4.6,18.1
"made","Dwyane Wade",25.7,5,1,25.7,5
"made","Chris Bosh",24.4,4.8,1,24.4,4.8
"made","Chris Bosh",30.2,7,6,30.2,7
"made","James Jones",47.6,8.7,23,47.6,8.7
"made","Dirk Nowitzki",30,86.4,6,20,7.59999999999999
"made","LeBron James",37,9.2,13,37,9.2
"made","Shawn Marion",21,87.8,4,29,6.2
"made","Udonis Haslem",24.9,4.7,0,24.9,4.7
"made","Jason Kidd",42.6,72,24,7.4,22
"made","Jason Kidd",38.2,68.9,24,11.8,25.1
"made","LeBron James",41.1,13.3,18,41.1,13.3
"made","Dirk Nowitzki",21.3,87.8,4,28.7,6.2
"made","Joel Anthony",24.4,5.4,1,24.4,5.4
"made","Dwyane Wade",34.3,5.3,9,34.3,5.3
"made","Dwyane Wade",24.9,5.1,0,24.9,5.1
"made","LeBron James",6.3,8.1,19,6.3,8.1
"made","LeBron James",7.9,8.4,17,7.9,8.4
"made","Dwyane Wade",25.5,4.8,1,25.5,4.8
"made","Dirk Nowitzki",24.3,89,1,25.7,5
"made","Dirk Nowitzki",42.1,88.4,17,7.9,5.59999999999999
"made","Shawn Marion",27,89.3,2,23,4.7
"made","Dwyane Wade",37,19,18,37,19
"made","Jason Terry",42,71.1,25,8,22.9
"made","Mario Chalmers",25,5.1,0,25,5.1
"made","Shawn Marion",24.6,89.6,1,25.4,4.40000000000001
"made","LeBron James",8.5,9.4,17,8.5,9.4
"made","Shawn Marion",24.5,89,0,25.5,5
"made","Dirk Nowitzki",12.8,86.5,12,37.2,7.5
"made","LeBron James",28.2,5.6,3,28.2,5.6
"made","Shawn Marion",24.6,89.5,1,25.4,4.5
"made","Shawn Marion",9.2,87.8,16,40.8,6.2
"made","Norris Cole",32,6.9,7,32,6.9
"made","Jason Terry",1.6,88.9,23,48.4,5.09999999999999
"made","Joel Anthony",24.6,5,0,24.6,5
"made","LeBron James",20.8,24.8,20,20.8,24.8
"made","Vince Carter",15.5,86.5,10,34.5,7.5
"made","Delonte West",47.8,88.7,23,2.2,5.3
"made","Jason Terry",20.1,78.5,12,29.9,15.5
"made","Jason Terry",14.7,68.4,23,35.3,25.6
"made","LeBron James",20.5,6.9,5,20.5,6.9
